cells,patient_id,cell_type,treatment_group,Cohort,no.of.genes,no.of.reads
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A06_S6_comb,Mel79,Mal,treatment.naive,Tirosh,5717,154239
CY89FNAQ2_D06_S426_comb,Mel89,Mal,treatment.naive,Tirosh,9394,253257
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B05_S113_comb,Mel79,Mal,treatment.naive,Tirosh,5365,92327
Cy80_II_CD45_E01_S913_comb,Mel80,Mal,treatment.naive,Tirosh,6427,155994
CY89NEG_G08_S80_comb,Mel89,Mal,treatment.naive,Tirosh,5114,112117
cy53_1_CD45_neg_A12_S300_comb,Mel53,Mal,treatment.naive,Tirosh,6289,439919
Cy81_FNA_CD45_B02_S302_comb,Mel81,Mal,treatment.naive,Tirosh,4750,54011
cy78_CD45_neg_2_C07_S607_comb,Mel78,Mal,post.treatment,Tirosh,9469,410795
cy60_1_cd_45_neg_1_D11_S239_comb,Mel60,Mal,post.treatment,Tirosh,3594,73973
CY88_3_E02_S626_comb,Mel88,Mal,post.treatment,Tirosh,7103,397348
CY88_3_A12_S588_comb,Mel88,Mal,post.treatment,Tirosh,4557,98445
cy80_CD45_neg_F01_S925_comb,Mel80,Mal,treatment.naive,Tirosh,8095,207987
cy81_Bulk_CD45_neg_G06_S174_comb,Mel81,Mal,treatment.naive,Tirosh,9829,516111
cy79_p4_CD45_neg_PDL1_pos_G04_S460_comb,Mel79,Mal,treatment.naive,Tirosh,6806,383718
cy79_p3_CD45_neg_PDL1_neg_B07_S211_comb,Mel79,Mal,treatment.naive,Tirosh,4755,116462
CY88_5_G02_S746_comb,Mel88,Mal,post.treatment,Tirosh,5338,134404
cy79_p5_CD45_neg_PDL1_pos_F10_S742_comb,Mel79,Mal,treatment.naive,Tirosh,4812,73194
cy80_CD45_neg_D02_S902_comb,Mel80,Mal,treatment.naive,Tirosh,7625,83035
CY89CORE11_F10_S166_comb,Mel89,Mal,treatment.naive,Tirosh,7404,424662
cy79_p4_CD45_neg_PDL1_pos_B03_S399_comb,Mel79,Mal,treatment.naive,Tirosh,5138,262742
cy78_CD45_neg_1_C01_S505_comb,Mel78,Mal,post.treatment,Tirosh,5578,123434
cy80_CD45_neg_B08_S884_comb,Mel80,Mal,treatment.naive,Tirosh,8384,284270
cy78_CD45_neg_2_A05_S581_comb,Mel78,Mal,post.treatment,Tirosh,3947,18944
cy79_p5_CD45_neg_PDL1_pos_D09_S717_comb,Mel79,Mal,treatment.naive,Tirosh,4844,98621
cy79_p3_CD45_neg_PDL1_neg_F03_S255_comb,Mel79,Mal,treatment.naive,Tirosh,5320,396531
CY89FNAQ2_G04_S460_comb,Mel89,Mal,treatment.naive,Tirosh,7824,541625
cy80_CD45_neg_F08_S932_comb,Mel80,Mal,treatment.naive,Tirosh,8253,222606
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_A02_S98_comb,Mel79,Mal,treatment.naive,Tirosh,8202,135002
Cy81_FNA_CD45_F07_S355_comb,Mel81,Mal,treatment.naive,Tirosh,5354,273095
CY88_3_G05_S653_comb,Mel88,Mal,post.treatment,Tirosh,7827,517362
cy81_FNA_CD45_neg_E09_S1017_comb,Mel81,Mal,treatment.naive,Tirosh,9201,313758
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_G09_S177_comb,Mel79,Mal,treatment.naive,Tirosh,6536,98923
Cy80_II_CD45_H11_S959_comb,Mel80,Mal,treatment.naive,Tirosh,4871,231091
cy78_CD45_neg_1_H05_S569_comb,Mel78,Mal,post.treatment,Tirosh,3106,41640
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_D02_S326_comb,Mel79,Mal,treatment.naive,Tirosh,4425,93633
Cy81_FNA_CD45_E04_S340_comb,Mel81,Mal,treatment.naive,Tirosh,5260,160766
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C04_S124_comb,Mel79,Mal,treatment.naive,Tirosh,4893,47876
cy79_p5_CD45_neg_PDL1_pos_C04_S700_comb,Mel79,Mal,treatment.naive,Tirosh,4743,121673
cy79_p4_CD45_neg_PDL1_pos_D09_S429_comb,Mel79,Mal,treatment.naive,Tirosh,2219,7303
cy78_CD45_neg_3_E06_S726_comb,Mel78,Mal,post.treatment,Tirosh,4547,101948
cy82_CD45_neg_3_A11_S779_comb,Mel82,Mal,treatment.naive,Tirosh,3135,848998
CY89NEG_A10_S10_comb,Mel89,Mal,treatment.naive,Tirosh,5682,492350
cy79_p4_CD45_neg_PDL1_pos_H05_S473_comb,Mel79,Mal,treatment.naive,Tirosh,2512,11905
Cy81_FNA_CD45_H09_S381_comb,Mel81,Mal,treatment.naive,Tirosh,5595,250068
CY88_3_E07_S631_comb,Mel88,Mal,post.treatment,Tirosh,7285,476780
cy80_CD45_neg_E05_S917_comb,Mel80,Mal,treatment.naive,Tirosh,4930,21386
Cy80_II_CD45_A01_S865_comb,Mel80,Mal,treatment.naive,Tirosh,6747,341092
CY89NEG_A12_S12_comb,Mel89,Mal,treatment.naive,Tirosh,6771,467255
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B03_S111_comb,Mel79,Mal,treatment.naive,Tirosh,3501,49256
cy79_p3_CD45_neg_PDL1_neg_G12_S276_comb,Mel79,Mal,treatment.naive,Tirosh,5855,363211
cy79_p4_CD45_neg_PDL1_pos_C06_S414_comb,Mel79,Mal,treatment.naive,Tirosh,5290,160329
Cy81_Bulk_CD45_F12_S168_comb,Mel81,Mal,treatment.naive,Tirosh,6321,236507
CY88_3_A08_S584_comb,Mel88,Mal,post.treatment,Tirosh,5587,179038
cy81_FNA_CD45_neg_D01_S997_comb,Mel81,Mal,treatment.naive,Tirosh,6450,75044
cy79_p5_CD45_neg_PDL1_pos_H09_S765_comb,Mel79,Mal,treatment.naive,Tirosh,3911,54135
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_E03_S339_comb,Mel79,Mal,treatment.naive,Tirosh,4756,87693
Cy71_CD45_E06_S534_comb,Mel71,Mal,treatment.naive,Tirosh,4927,153470
cy79_p4_CD45_neg_PDL1_neg_C08_S1088_comb,Mel79,Mal,treatment.naive,Tirosh,5342,245188
cy79_p5_CD45_neg_PDL1_neg_A09_S777_comb,Mel79,Mal,treatment.naive,Tirosh,4254,91894
CY88_3_C06_S606_comb,Mel88,Mal,post.treatment,Tirosh,4203,113418
cy79_p3_CD45_neg_PDL1_neg_C03_S219_comb,Mel79,Mal,treatment.naive,Tirosh,4282,133674
cy81_FNA_CD45_neg_D03_S999_comb,Mel81,Mal,treatment.naive,Tirosh,7783,217366
cy81_FNA_CD45_neg_E06_S1014_comb,Mel81,Mal,treatment.naive,Tirosh,6518,41176
CY88_3_F11_S647_comb,Mel88,Mal,post.treatment,Tirosh,6689,370797
CY89NEG_C10_S34_comb,Mel89,Mal,treatment.naive,Tirosh,6558,543273
cy79_p4_CD45_neg_PDL1_pos_B07_S403_comb,Mel79,Mal,treatment.naive,Tirosh,5382,101671
cy81_FNA_CD45_neg_C11_S995_comb,Mel81,Mal,treatment.naive,Tirosh,8178,299195
CY88_5_A06_S678_comb,Mel88,Mal,post.treatment,Tirosh,6312,372042
cy80_CD45_neg_B03_S879_comb,Mel80,Mal,treatment.naive,Tirosh,8473,455714
cy78_CD45_neg_3_C04_S700_comb,Mel78,Mal,post.treatment,Tirosh,5699,215737
CY84_PRIM_POS_ALL_6_D06_S426_comb,Mel84,Mal,treatment.naive,Tirosh,10426,691085
cy79_p4_CD45_neg_PDL1_pos_A06_S390_comb,Mel79,Mal,treatment.naive,Tirosh,4840,191537
cy79_p3_CD45_neg_PDL1_neg_H05_S281_comb,Mel79,Mal,treatment.naive,Tirosh,3407,34914
Cy71_CD45_C12_S516_comb,Mel71,Mal,treatment.naive,Tirosh,6971,201193
cy79_p4_CD45_neg_PDL1_neg_H05_S1145_comb,Mel79,Mal,treatment.naive,Tirosh,4500,81503
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C06_S126_comb,Mel79,Mal,treatment.naive,Tirosh,5459,74454
CY88_3_A11_S587_comb,Mel88,Mal,post.treatment,Tirosh,7351,366329
CY88_3_F10_S646_comb,Mel88,Mal,post.treatment,Tirosh,5584,244428
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C09_S129_comb,Mel79,Mal,treatment.naive,Tirosh,6249,68846
cy79_p4_CD45_neg_PDL1_neg_E09_S1113_comb,Mel79,Mal,treatment.naive,Tirosh,3021,15273
CY88_3_G12_S660_comb,Mel88,Mal,post.treatment,Tirosh,6467,218444
CY88_5_H04_S760_comb,Mel88,Mal,post.treatment,Tirosh,6937,336539
cy79_p3_CD45_neg_PDL1_neg_H01_S277_comb,Mel79,Mal,treatment.naive,Tirosh,5046,398877
CY89NEG_E03_S51_comb,Mel89,Mal,treatment.naive,Tirosh,5822,423538
CY88_3_G01_S649_comb,Mel88,Mal,post.treatment,Tirosh,5104,169504
cy81_Bulk_CD45_neg_D01_S133_comb,Mel81,Mal,treatment.naive,Tirosh,5588,516733
cy78_CD45_neg_1_C06_S510_comb,Mel78,Mal,post.treatment,Tirosh,5933,92029
Cy71_CD45_A06_S486_comb,Mel71,Mal,treatment.naive,Tirosh,6338,153372
cy79_p5_CD45_neg_PDL1_neg_G08_S848_comb,Mel79,Mal,treatment.naive,Tirosh,5414,234420
Cy80_II_CD45_E11_S923_comb,Mel80,Mal,treatment.naive,Tirosh,5217,166723
cy79_p4_CD45_neg_PDL1_pos_F04_S448_comb,Mel79,Mal,treatment.naive,Tirosh,5112,329260
CY88_5_F03_S735_comb,Mel88,Mal,post.treatment,Tirosh,6373,264926
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_C12_S324_comb,Mel79,Mal,treatment.naive,Tirosh,4057,52568
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_A08_S104_comb,Mel79,Mal,treatment.naive,Tirosh,5009,63997
Cy71_CD45_C09_S513_comb,Mel71,Mal,treatment.naive,Tirosh,5666,208407
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G02_S74_comb,Mel79,Mal,treatment.naive,Tirosh,4428,46841
cy79_p4_CD45_neg_PDL1_neg_D08_S1100_comb,Mel79,Mal,treatment.naive,Tirosh,5502,90096
Cy71_CD45_E05_S533_comb,Mel71,Mal,treatment.naive,Tirosh,3809,51402
cy84_Primary_CD45_neg_A10_S970_comb,Mel84,Mal,treatment.naive,Tirosh,6007,142521
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_D03_S327_comb,Mel79,Mal,treatment.naive,Tirosh,4821,223476
CY84_PRIM_POS_ALL_6_G01_S457_comb,Mel84,Mal,treatment.naive,Tirosh,6655,55515
CY88_5_A03_S675_comb,Mel88,Mal,post.treatment,Tirosh,5483,172380
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_G07_S175_comb,Mel79,Mal,treatment.naive,Tirosh,5187,45201
cy81_Bulk_CD45_neg_B02_S110_comb,Mel81,Mal,treatment.naive,Tirosh,7202,535257
cy80_CD45_neg_A06_S870_comb,Mel80,Mal,treatment.naive,Tirosh,7489,172530
cy78_CD45_neg_3_G10_S754_comb,Mel78,Mal,post.treatment,Tirosh,6504,309176
cy79_p4_CD45_neg_PDL1_pos_B12_S408_comb,Mel79,Mal,treatment.naive,Tirosh,4052,39545
cy79_p4_CD45_neg_PDL1_pos_G09_S465_comb,Mel79,Mal,treatment.naive,Tirosh,4292,169531
cy79_p3_CD45_neg_PDL1_neg_C01_S217_comb,Mel79,Mal,treatment.naive,Tirosh,2200,6044
Cy71_CD45_H12_S576_comb,Mel71,Mal,treatment.naive,Tirosh,3207,7112
cy81_Bulk_CD45_neg_B04_S112_comb,Mel81,Mal,treatment.naive,Tirosh,3109,232333
cy79_p5_CD45_neg_PDL1_neg_H11_S863_comb,Mel79,Mal,treatment.naive,Tirosh,6183,334038
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_B12_S312_comb,Mel79,Mal,treatment.naive,Tirosh,5235,163136
cy78_CD45_neg_3_H04_S760_comb,Mel78,Mal,post.treatment,Tirosh,6481,135799
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_G11_S371_comb,Mel79,Mal,treatment.naive,Tirosh,3816,71198
CY88_5_F06_S738_comb,Mel88,Mal,post.treatment,Tirosh,7691,486033
CY88_5_H06_S762_comb,Mel88,Mal,post.treatment,Tirosh,5229,85002
cy79_p5_CD45_neg_PDL1_neg_D02_S806_comb,Mel79,Mal,treatment.naive,Tirosh,4642,89319
cy79_p5_CD45_neg_PDL1_neg_B07_S787_comb,Mel79,Mal,treatment.naive,Tirosh,4578,71819
Cy80_II_CD45_E08_S920_comb,Mel80,Mal,treatment.naive,Tirosh,4910,105529
cy78_CD45_neg_1_D04_S520_comb,Mel78,Mal,post.treatment,Tirosh,8890,377970
cy79_p4_CD45_neg_PDL1_pos_F01_S445_comb,Mel79,Mal,treatment.naive,Tirosh,8217,271624
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_F08_S356_comb,Mel79,Mal,treatment.naive,Tirosh,4006,105716
Cy81_FNA_CD45_H05_S377_comb,Mel81,Mal,treatment.naive,Tirosh,4069,541807
cy81_FNA_CD45_neg_D12_S1008_comb,Mel81,Mal,treatment.naive,Tirosh,7797,113210
cy79_p5_CD45_neg_PDL1_neg_A08_S776_comb,Mel79,Mal,treatment.naive,Tirosh,4983,96168
cy79_p4_CD45_neg_PDL1_neg_B12_S1080_comb,Mel79,Mal,treatment.naive,Tirosh,3404,30637
cy79_p4_CD45_neg_PDL1_neg_G02_S1130_comb,Mel79,Mal,treatment.naive,Tirosh,5152,239970
cy79_p5_CD45_neg_PDL1_pos_C05_S701_comb,Mel79,Mal,treatment.naive,Tirosh,5554,34260
Cy81_FNA_CD45_D12_S336_comb,Mel81,Mal,treatment.naive,Tirosh,7480,163913
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_G03_S363_comb,Mel79,Mal,treatment.naive,Tirosh,4883,110089
cy81_FNA_CD45_neg_E08_S1016_comb,Mel81,Mal,treatment.naive,Tirosh,9649,275209
cy81_Bulk_CD45_neg_A07_S103_comb,Mel81,Mal,treatment.naive,Tirosh,5983,80237
cy79_p5_CD45_neg_PDL1_pos_E01_S721_comb,Mel79,Mal,treatment.naive,Tirosh,4896,53366
CY88_3_F09_S645_comb,Mel88,Mal,post.treatment,Tirosh,6004,269611
cy78_CD45_neg_3_A11_S683_comb,Mel78,Mal,post.treatment,Tirosh,8257,698668
cy94_cd45neg_cd90pos_D01_S325_comb,Mel94,Mal,post.treatment,Tirosh,6084,1462351
cy81_Bulk_CD45_neg_H07_S187_comb,Mel81,Mal,treatment.naive,Tirosh,8352,322824
CY88_5_A12_S684_comb,Mel88,Mal,post.treatment,Tirosh,6129,352127
cy79_p4_CD45_neg_PDL1_neg_A10_S1066_comb,Mel79,Mal,treatment.naive,Tirosh,4410,103909
cy78_CD45_neg_2_B05_S593_comb,Mel78,Mal,post.treatment,Tirosh,6727,95680
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F08_S164_comb,Mel79,Mal,treatment.naive,Tirosh,5523,69569
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_H04_S184_comb,Mel79,Mal,treatment.naive,Tirosh,2325,39418
cy79_p4_CD45_neg_PDL1_pos_G10_S466_comb,Mel79,Mal,treatment.naive,Tirosh,5340,157550
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_C09_S321_comb,Mel79,Mal,treatment.naive,Tirosh,5518,152902
Cy71_CD45_A07_S487_comb,Mel71,Mal,treatment.naive,Tirosh,4664,176874
Cy71_CD45_G11_S563_comb,Mel71,Mal,treatment.naive,Tirosh,4949,84989
cy79_p4_CD45_neg_PDL1_pos_F10_S454_comb,Mel79,Mal,treatment.naive,Tirosh,4569,213380
CY88_3_G10_S658_comb,Mel88,Mal,post.treatment,Tirosh,5851,260564
cy81_FNA_CD45_neg_E01_S1009_comb,Mel81,Mal,treatment.naive,Tirosh,8551,308515
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C03_S123_comb,Mel79,Mal,treatment.naive,Tirosh,4869,47149
cy79_p5_CD45_neg_PDL1_pos_G06_S750_comb,Mel79,Mal,treatment.naive,Tirosh,4927,205087
cy81_FNA_CD45_neg_F01_S1021_comb,Mel81,Mal,treatment.naive,Tirosh,7756,207555
CY88_3_D11_S623_comb,Mel88,Mal,post.treatment,Tirosh,7559,596484
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F12_S168_comb,Mel79,Mal,treatment.naive,Tirosh,5051,55924
cy79_p5_CD45_neg_PDL1_pos_C02_S698_comb,Mel79,Mal,treatment.naive,Tirosh,4890,61226
cy79_p4_CD45_neg_PDL1_neg_A02_S1058_comb,Mel79,Mal,treatment.naive,Tirosh,5440,184558
cy79_p5_CD45_neg_PDL1_pos_D07_S715_comb,Mel79,Mal,treatment.naive,Tirosh,6421,118723
cy81_FNA_CD45_neg_H02_S1046_comb,Mel81,Mal,treatment.naive,Tirosh,1941,6555
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B01_S109_comb,Mel79,Mal,treatment.naive,Tirosh,4703,48910
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D08_S140_comb,Mel79,Mal,treatment.naive,Tirosh,3550,33370
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D10_S142_comb,Mel79,Mal,treatment.naive,Tirosh,5234,58614
cy81_FNA_CD45_neg_B03_S975_comb,Mel81,Mal,treatment.naive,Tirosh,8391,238334
cy81_Bulk_CD45_neg_H02_S182_comb,Mel81,Mal,treatment.naive,Tirosh,7568,582436
cy80_CD45_neg_A10_S874_comb,Mel80,Mal,treatment.naive,Tirosh,6973,85535
CY88_3_H04_S664_comb,Mel88,Mal,post.treatment,Tirosh,6481,506682
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B06_S114_comb,Mel79,Mal,treatment.naive,Tirosh,6126,93411
cy79_p5_CD45_neg_PDL1_neg_E04_S820_comb,Mel79,Mal,treatment.naive,Tirosh,3743,19207
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_G10_S370_comb,Mel79,Mal,treatment.naive,Tirosh,3345,32978
cy78_CD45_neg_3_B10_S694_comb,Mel78,Mal,post.treatment,Tirosh,7619,358616
cy53_1_CD45_neg_F07_S355_comb,Mel53,Mal,treatment.naive,Tirosh,2594,89962
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B06_S18_comb,Mel79,Mal,treatment.naive,Tirosh,6182,91087
Cy81_Bulk_CD45_F05_S161_comb,Mel81,Mal,treatment.naive,Tirosh,6735,242630
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_C08_S320_comb,Mel79,Mal,treatment.naive,Tirosh,5100,104793
CY88_5_B02_S686_comb,Mel88,Mal,post.treatment,Tirosh,5679,140412
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_F09_S357_comb,Mel79,Mal,treatment.naive,Tirosh,4342,43666
cy60_1_cd_45_neg_1_C08_S224_comb,Mel60,Mal,post.treatment,Tirosh,6339,176595
cy78_CD45_neg_3_G08_S752_comb,Mel78,Mal,post.treatment,Tirosh,5483,268351
cy81_FNA_CD45_neg_E10_S1018_comb,Mel81,Mal,treatment.naive,Tirosh,7642,234626
cy78_CD45_neg_1_C05_S509_comb,Mel78,Mal,post.treatment,Tirosh,6533,155837
cy79_p4_CD45_neg_PDL1_pos_G02_S458_comb,Mel79,Mal,treatment.naive,Tirosh,6024,292480
Cy81_Bulk_CD45_D08_S140_comb,Mel81,Mal,treatment.naive,Tirosh,3791,12770
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G12_S84_comb,Mel79,Mal,treatment.naive,Tirosh,7725,79371
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_E12_S348_comb,Mel79,Mal,treatment.naive,Tirosh,4385,101737
cy78_CD45_neg_3_D11_S719_comb,Mel78,Mal,post.treatment,Tirosh,5884,328774
CY88_3_F06_S642_comb,Mel88,Mal,post.treatment,Tirosh,5822,322304
cy79_p5_CD45_neg_PDL1_pos_B08_S692_comb,Mel79,Mal,treatment.naive,Tirosh,4606,77413
Cy81_FNA_CD45_B04_S304_comb,Mel81,Mal,treatment.naive,Tirosh,7346,146071
cy78_CD45_neg_3_B05_S689_comb,Mel78,Mal,post.treatment,Tirosh,7481,264442
CY88_3_D05_S617_comb,Mel88,Mal,post.treatment,Tirosh,5651,224764
Cy80_II_CD45_H12_S960_comb,Mel80,Mal,treatment.naive,Tirosh,4600,12448
CY88_5_A07_S679_comb,Mel88,Mal,post.treatment,Tirosh,7047,365425
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_D07_S43_comb,Mel79,Mal,treatment.naive,Tirosh,6094,111785
cy78_CD45_neg_3_G03_S747_comb,Mel78,Mal,post.treatment,Tirosh,4381,184594
cy81_FNA_CD45_neg_H10_S1054_comb,Mel81,Mal,treatment.naive,Tirosh,2233,5961
cy79_p4_CD45_neg_PDL1_neg_H07_S1147_comb,Mel79,Mal,treatment.naive,Tirosh,3972,104253
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_C10_S322_comb,Mel79,Mal,treatment.naive,Tirosh,4777,132448
cy79_p5_CD45_neg_PDL1_pos_F03_S735_comb,Mel79,Mal,treatment.naive,Tirosh,5962,165631
CY88_5_A09_S681_comb,Mel88,Mal,post.treatment,Tirosh,6655,177665
cy79_p5_CD45_neg_PDL1_pos_B12_S696_comb,Mel79,Mal,treatment.naive,Tirosh,5603,120684
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_D11_S47_comb,Mel79,Mal,treatment.naive,Tirosh,5729,106742
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_H06_S378_comb,Mel79,Mal,treatment.naive,Tirosh,3563,38988
Cy81_FNA_CD45_H01_S373_comb,Mel81,Mal,treatment.naive,Tirosh,6153,146136
cy79_p5_CD45_neg_PDL1_neg_D08_S812_comb,Mel79,Mal,treatment.naive,Tirosh,5085,104365
cy81_FNA_CD45_neg_H11_S1055_comb,Mel81,Mal,treatment.naive,Tirosh,2868,7916
cy84_Primary_CD45_neg_H02_S1046_comb,Mel84,Mal,treatment.naive,Tirosh,9300,644804
Cy71_CD45_C07_S511_comb,Mel71,Mal,treatment.naive,Tirosh,5711,112642
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_G01_S169_comb,Mel79,Mal,treatment.naive,Tirosh,4779,41344
Cy81_Bulk_CD45_A12_S108_comb,Mel81,Mal,treatment.naive,Tirosh,8390,655821
CY88_3_A05_S581_comb,Mel88,Mal,post.treatment,Tirosh,7130,349595
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_A09_S105_comb,Mel79,Mal,treatment.naive,Tirosh,5386,56636
Cy80_II_CD45_A06_S870_comb,Mel80,Mal,treatment.naive,Tirosh,5619,145990
cy79_p4_CD45_neg_PDL1_neg_F04_S1120_comb,Mel79,Mal,treatment.naive,Tirosh,5373,230992
CY88_3_E08_S632_comb,Mel88,Mal,post.treatment,Tirosh,4930,93346
cy79_p3_CD45_neg_PDL1_neg_D08_S236_comb,Mel79,Mal,treatment.naive,Tirosh,5449,420253
cy78_CD45_neg_1_B12_S504_comb,Mel78,Mal,post.treatment,Tirosh,9015,582788
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C11_S131_comb,Mel79,Mal,treatment.naive,Tirosh,4848,54626
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_E06_S54_comb,Mel79,Mal,treatment.naive,Tirosh,6340,130362
cy79_p5_CD45_neg_PDL1_pos_D10_S718_comb,Mel79,Mal,treatment.naive,Tirosh,5697,138153
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_E06_S342_comb,Mel79,Mal,treatment.naive,Tirosh,5065,81527
Cy81_Bulk_CD45_E06_S150_comb,Mel81,Mal,treatment.naive,Tirosh,6889,319673
cy79_p3_CD45_neg_PDL1_neg_H11_S287_comb,Mel79,Mal,treatment.naive,Tirosh,2974,614124
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A08_S8_comb,Mel79,Mal,treatment.naive,Tirosh,6478,155170
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A03_S3_comb,Mel79,Mal,treatment.naive,Tirosh,7385,243687
cy79_p3_CD45_neg_PDL1_neg_F02_S254_comb,Mel79,Mal,treatment.naive,Tirosh,5574,416981
cy79_p4_CD45_neg_PDL1_neg_H02_S1142_comb,Mel79,Mal,treatment.naive,Tirosh,2612,9614
cy78_CD45_neg_2_A10_S586_comb,Mel78,Mal,post.treatment,Tirosh,8898,381859
cy79_p4_CD45_neg_PDL1_pos_B09_S405_comb,Mel79,Mal,treatment.naive,Tirosh,4526,140578
cy79_p5_CD45_neg_PDL1_pos_B11_S695_comb,Mel79,Mal,treatment.naive,Tirosh,5323,107579
cy79_p5_CD45_neg_PDL1_pos_G08_S752_comb,Mel79,Mal,treatment.naive,Tirosh,4394,78397
Cy71_CD45_C10_S514_comb,Mel71,Mal,treatment.naive,Tirosh,5650,142035
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_H12_S192_comb,Mel79,Mal,treatment.naive,Tirosh,9652,112302
cy79_p5_CD45_neg_PDL1_neg_H08_S860_comb,Mel79,Mal,treatment.naive,Tirosh,5427,192953
cy78_CD45_neg_3_F10_S742_comb,Mel78,Mal,post.treatment,Tirosh,7383,317501
cy53_1_CD45_neg_F08_S356_comb,Mel53,Mal,treatment.naive,Tirosh,2995,294368
Cy71_CD45_C02_S506_comb,Mel71,Mal,treatment.naive,Tirosh,4771,235664
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_H06_S186_comb,Mel79,Mal,treatment.naive,Tirosh,5359,65851
cy79_p3_CD45_neg_PDL1_neg_D07_S235_comb,Mel79,Mal,treatment.naive,Tirosh,5367,233423
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_A03_S291_comb,Mel79,Mal,treatment.naive,Tirosh,4541,47018
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_C09_S33_comb,Mel79,Mal,treatment.naive,Tirosh,6477,101024
cy79_p3_CD45_neg_PDL1_neg_D05_S233_comb,Mel79,Mal,treatment.naive,Tirosh,4058,27979
cy78_CD45_neg_3_A09_S681_comb,Mel78,Mal,post.treatment,Tirosh,8234,453651
cy78_CD45_neg_1_A06_S486_comb,Mel78,Mal,post.treatment,Tirosh,9222,412970
cy79_p4_CD45_neg_PDL1_pos_E07_S439_comb,Mel79,Mal,treatment.naive,Tirosh,4786,57910
Cy71_CD45_F08_S548_comb,Mel71,Mal,treatment.naive,Tirosh,4920,85993
cy79_p4_CD45_neg_PDL1_pos_A05_S389_comb,Mel79,Mal,treatment.naive,Tirosh,5790,128169
cy78_CD45_neg_1_F11_S551_comb,Mel78,Mal,post.treatment,Tirosh,7571,366923
cy80_CD45_neg_C11_S899_comb,Mel80,Mal,treatment.naive,Tirosh,8613,188258
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_E02_S338_comb,Mel79,Mal,treatment.naive,Tirosh,5704,152610
Cy71_CD45_C04_S508_comb,Mel71,Mal,treatment.naive,Tirosh,5746,277253
CY88_3_F08_S644_comb,Mel88,Mal,post.treatment,Tirosh,4148,28336
cy79_p3_CD45_neg_PDL1_neg_E12_S252_comb,Mel79,Mal,treatment.naive,Tirosh,3170,392266
Cy81_FNA_CD45_D11_S335_comb,Mel81,Mal,treatment.naive,Tirosh,6850,162427
cy80_CD45_neg_C07_S895_comb,Mel80,Mal,treatment.naive,Tirosh,7701,181174
CY88_5_D12_S720_comb,Mel88,Mal,post.treatment,Tirosh,6645,244784
